question,example,reasoning,solution
Implement a Queue data structure using Python's built-in list data structure.,"Input: enqueue(1), enqueue(2), dequeue(), enqueue(3), dequeue(), dequeue(); Output: [1, 2, 3]","A Queue is a collection of elements with a first-in-first-out (FIFO) ordering. In this task, we will implement a Queue using a list and two methods: enqueue() to add an element to the back of the queue and dequeue() to remove an element from the front of the queue.","class Queue:
    def __init__(self):
        self.items = []
    def enqueue(self, item):
        self.items.append(item)
    def dequeue(self):
        return self.items.pop(0)"
Write a function to find the maximum sum of a subarray with a given sum.,"Input: {1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: -1, 7: -2, 8: -3, 9: 4}; Output: [4, 5]","To solve this problem, we first create a function `subarray_sum(dct, target)` to find the maximum sum of a subarray with a given sum. The function uses a sliding window approach, where it iterates through the dictionary and keeps track of the current sum and the sum of the subarray that has the maximum sum with the given target. If the current sum exceeds the target, it subtracts the first element of the subarray and moves the window to the right.","```python
def subarray_sum(dct, target):
    max_sum = 0
    current_sum = 0
    start = 0
    for end in range(len(dct)):
        current_sum += dct[end]
        while current_sum > target:
            current_sum -= dct[start]
            start += 1
        if current_sum == target:
            max_sum = max(max_sum, current_sum)
        if current_sum > max_sum:
            max_sum = current_sum
    subarray = []
    start = 0
    for end in range(len(dct)):
        if dct[end] == target and max_sum == target:
            subarray.append(dct.keys()[start])
            subarray.append(dct.keys()[end])
            break
        if dct[end] + current_sum - dct[start] == target and max_sum == target + dct[end]:
            subarray.append(dct.keys()[start])
            subarray.append(dct.keys()[end])
            start += 1
    return subarray

def main():
    dct = {1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: -1, 7: -2, 8: -3, 9: 4}
    target = 7
    print(subarray_sum(dct, target))

if __name__ == '__main__':
    main()```"
Implement an array-based solution to find the second largest number in a list.,"Input: [3, 5, 2, 7, 1]; Output: 5","The problem requires finding the second largest number in a given list. We can use an array-based solution where we initialize two variables, max and second_max, to store the largest and second largest numbers, respectively. We then iterate through the list and update max and second_max as needed.","```python
def second_largest(nums):
    max_num = max(nums)
    second_max = float('-inf') # initialize second_max to a small negative number
    for num in nums:
        if num > max_num:
            second_max = max_num
            max_num = num
        elif num > second_max and num != max_num:
            second_max = num
    if second_max == float('-inf'):
        print('There is no second largest number')
    else:
        print(second_max)

# Test cases
print(second_largest([3, 5, 2, 7, 1])) # Output: 5
print(second_largest([1, 2, 3, 4, 5])) # Output: 4
print(second_largest([10, 20, 20, 30, 40])) # Output: 20
```"
"Implement a priority queue using a binary heap that can perform insertion, deletion, and finding the minimum element in O(log n) time.","Input: 
[3, 5, 1, 7, 9, 2, 6, 8, 4]
Output: [1, 2, 3, 4, 5, 6, 7, 8, 9]","To solve this problem, we can use a binary heap data structure. A binary heap is a complete binary tree where each node is greater than or equal to its children (max heap) or less than or equal to its children (min heap). We can implement a min heap by maintaining the invariant that the parent node is less than or equal to its children. We can use the built-in `heapq` module to perform insertion, deletion, and finding the minimum element in O(log n) time.","```python
import heapq

def min_heap():
    return []

def insert(heap, value):
    heapq.heappush(heap, value)

def delete_min(heap):
    return heapq.heappop(heap)

def find_min(heap):
    return heap[0]
```"
Implement a heap data structure to find the kth largest element in an unsorted array.,"Input: [10, 20, 30, 40, 50, 60, 70, 80, 90], k = 4; Output: 50","A heap is a complete binary tree where each parent node is greater than or equal to its child nodes. To find the kth largest element in an unsorted array, we can build a max-heap and extract the k largest elements from the heap.","import heapq

def kth_largest(arr, k):
    heap = arr[:k]
    heapq.heapify(heap)
    for e in arr[k:]:
        if e > heap[0]:
            heapq.heappop(heap)
            heapq.heappush(heap, e)
    return heap[0]"
"Implement a queue using a list and perform the following operations: enqueue, dequeue, and print the queue.","Input: enqueue 1, enqueue 2, dequeue, enqueue 3, print
Output: 1 2 3","1. Initialize an empty list to represent the queue. 
2. For the enqueue operation, append the given element to the end of the list. 
3. For the dequeue operation, remove the first element from the list. 
4. For the print operation, print the elements in the list separated by a space.","```python
queue = []
def enqueue(x):
    queue.append(x)

def dequeue():
    if len(queue) == 0:
        print('Queue is empty')
        return
    return queue.pop(0)

def print_queue():
    print(' '.join(str(x) for x in queue))

# Example usage:
for operation in input().split():
    if operation == 'enqueue':
        num = int(input())
        enqueue(num)
    elif operation == 'dequeue':
        dequeue()
    elif operation == 'print':
        print_queue()
    else:
        print('Invalid operation')```"
"Implement a Set data structure using a dictionary in Python. The Set data structure should support the following operations: add, remove, and check if an element is in the Set.","Input: set = {
    'apple': True,
    'banana': True,
    'orange': True
}
Output: set.add('grape') -> {'apple': True, 'banana': True, 'orange': True, 'grape': True}
set.remove('banana') -> {'apple': True, 'orange': True, 'grape': True}
'grape' in set -> True","We can implement a Set data structure using a dictionary in Python. The keys of the dictionary represent the elements of the Set, and the values are set to True to indicate that the elements are present in the Set. The add operation adds a new element to the Set by adding a new key-value pair to the dictionary. The remove operation removes an element from the Set by deleting the corresponding key from the dictionary. The check operation checks if an element is in the Set by checking if the corresponding key exists in the dictionary.","class Set:
    def __init__(self):
        self.set = {
        }
    def add(self, element):
        if element not in self.set:
            self.set[element] = True
    def remove(self, element):
        if element in self.set:
            del self.set[element]
    def __contains__(self, element):
        return element in self.set

# Test the Set class
set = Set()
set.add('apple')
set.add('banana')
set.add('orange')
print(set)
set.remove('banana')
print(set)
print('grape' in set)"
Implement a priority queue using a binary heap data structure to find the kth smallest element in a list of n integers.,"Input: n=10, k=3, numbers=[1, 5, 12, 2, 11, 5, 1, 13, 8, 6]; Output: 2","A binary heap is a complete binary tree where each parent node is greater than or equal to its children. We can use a binary heap to implement a priority queue, where the smallest element is always at the root. To find the kth smallest element, we can build a binary heap from the list, extract the k smallest elements from the heap, and return the kth smallest element.","```python
import heapq
def kth_smallest(numbers, k):
    heap = numbers[:]
    heapq.heapify(heap)
    for i in range(len(heap) - k):
        heapq.heappop(heap)
    return heapq.heappop(heap)
```"
Implement a Queue data structure using Python's built-in list.,"Input: Enqueue 1, 2, 3
Dequeue
Enqueue 4
Dequeue
Dequeue
Output: [1, 2, 3, 4]","A Queue is a collection of entities which are maintained in a particular order (FIFO - First In First Out). In Python, we can implement a Queue using a list and two pointers - one for the front of the queue and another for the rear of the queue.","```python
class Queue: 
    def __init__(self): 
        self.queue = []

    def enqueue(self, item): 
        self.queue.append(item)

    def dequeue(self): 
        if len(self.queue) == 0: 
            return None
        return self.queue.pop(0)

    def size(self): 
        return len(self.queue)

# Test the Queue
q = Queue()
q.enqueue(1)
q.enqueue(2)
q.enqueue(3)
print(q.size())
print(q.dequeue())
print(q.size())
q.enqueue(4)
print(q.size())
print(q.dequeue())
print(q.dequeue())
print(q.dequeue())
print(q.size())
```"
Write a program to implement a dictionary that stores the frequency of words in a given text.,"Input: 'I love Python, Python is awesome'; Output: {'I': 1, 'love': 1, 'Python': 2, 'is': 1, 'awesome': 1}","To find the frequency of words in a given text, we can use a dictionary to store the words as keys and their frequencies as values. We can iterate through the text, split it into words, and update the dictionary accordingly.","```python
text = input().lower().split()
word_freq = {} 
for word in text:
    if word in word_freq:
        word_freq[word] += 1
    else:
        word_freq[word] = 1
print(word_freq)```"
Write a function to reverse a stack using another stack.,"Input: Stack([1, 2, 3, 4]); Output: Stack([4, 3, 2, 1])","To solve this problem, we create a new stack and pop elements from the original stack one by one. Each popped element is pushed onto the new stack in reverse order.","def reverse_stack(stack):
	new_stack = []
	while not stack.is_empty():
		new_stack.append(stack.pop())
	return new_stack"
Implement a Queue data structure using Python's built-in list.,"Input: enqueue(1), enqueue(2), dequeue(), enqueue(3), dequeue(), dequeue()
Output: [1, 2, 3]","The problem can be solved by using a list to simulate a queue. The algorithm should implement the enqueue and dequeue operations, ensuring that the dequeue operation removes the first element added to the queue.","```python
class Queue:
    def __init__(self):
        self.queue = []
    def enqueue(self, item):
        self.queue.append(item)
    def dequeue(self):
        if not self.queue:
            raise IndexError('The queue is empty')
        return self.queue.pop(0)

queue = Queue()
queue.enqueue(1)
queue.enqueue(2)
print(queue.dequeue())
queue.enqueue(3)
print(queue.dequeue())
print(queue.dequeue())```"
"Implement a Queue data structure using Python's built-in list and enqueue, dequeue, and is_empty operations.","Input: enqueue(1), enqueue(2), dequeue(), enqueue(3), is_empty(); Output: 2, False","To solve this problem, we create a class called Queue with three methods: enqueue, dequeue, and is_empty. The enqueue method adds an element to the end of the list, the dequeue method removes an element from the front of the list, and the is_empty method checks if the list is empty.","class Queue:
    def __init__(self):
        self.queue = []
    def enqueue(self, item):
        self.queue.append(item)
    def dequeue(self):
        if len(self.queue) == 0:
            raise IndexError('The queue is empty')
        return self.queue.pop(0)
    def is_empty(self):
        return len(self.queue) == 0"
"Given a list of integers, find the maximum sum of a contiguous subarray with at most k negative numbers.","Input: [4, -2, 3, -1, 6, -4, 1]
k = 2
Output: 7 (4, -2, 3, -1, 6)","The problem can be solved by iterating through the list and keeping track of the maximum sum of a contiguous subarray with at most k negative numbers. For each element, we can either include it in the current subarray or start a new subarray. If the number of negative numbers in the current subarray exceeds k, we discard the subarray and start a new one.","```python
def max_sum_subarray(nums: List[int], k: int) -> int:
    max_sum, max_so_far, neg_count = 0, 0, 0
    for num in nums:
        max_sum = max(num, max_sum + num)
        if num < 0:
            neg_count += 1
            max_sum = max_sum > max_so_far and max_sum or 0
            max_so_far = max(max_so_far, max_sum)
    return max_so_far
```"
Implement a binary tree using a list and write a function to find the maximum sum of a path from any node to any leaf in the tree.,Input: A list representing a binary tree and the root node; Output: The maximum sum of a path from any node to any leaf in the tree.,"We traverse the tree using a depth-first search (DFS) approach. At each node, we calculate the sum of the node and the maximum sum of its subtrees (left and right). We keep track of the maximum sum found so far. The maximum sum of a path from any node to any leaf is the maximum of the sum of the node and the maximum sum of its subtrees.","```python
class Node: 
    def __init__(self, data): 
        self.data = data
        self.left = None
        self.right = None

class Tree: 
    def __init__(self, arr, index): 
        self.root = self.build_tree(arr, index)
    
    def build_tree(self, arr, index): 
        if index < len(arr): 
            node = Node(arr[index])
            index += 1
            node.left = self.build_tree(arr, index)
            index += 1
            node.right = self.build_tree(arr, index)
        else:
            node = None
        return node
    
    def max_path_sum(self, node): 
        if not node: 
            return 0
        
        left_sum = self.max_path_sum(node.left)
        right_sum = self.max_path_sum(node.right)
        
        node_sum = node.data + min(left_sum, right_sum)
        
        return max(node_sum, max(left_sum, right_sum))
    
def __starting_point(): 
    arr = [1, 2, 3, 4, None, 5, 6, None, None, 7, None, None, None, 8]
    t = Tree(arr, 0)
    print(t.max_path_sum(t.root))
__starting_point()
```"
Implement a dynamic array data structure that can resize itself as needed to store a sequence of integers.,"Input: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]; Output: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","A dynamic array is a data structure that can resize itself as needed to store a sequence of integers. It uses an array to store the elements and a separate variable to keep track of the current size of the array. When the array is full, we create a new array with twice the capacity and copy the elements from the old array to the new array. When the array is less than half full, we can shrink it to save memory.","Here is a Python solution that uses a dynamic array data structure.

```
class DynamicArray:
    def __init__(self):
        self.arr = []
        self.size = 0
        self.capacity = 0
    def __len__(self):
        return self.size
    def append(self, value):
        if self.size == self.capacity:
            self.resize(2 * self.capacity)
        self.arr[self.size] = value
        self.size += 1
    def resize(self, new_capacity):
        new_arr = [None] * new_capacity
        for i in range(self.size):
            new_arr[i] = self.arr[i]
        self.arr = new_arr
        self.capacity = new_capacity
    def __getitem__(self, index):
        if 0 <= index < self.size:
            return self.arr[index]
        raise IndexError('Index out of range')
    def __setitem__(self, index, value):
        if 0 <= index < self.size:
            self.arr[index] = value
        else:
            raise IndexError('Index out of range')

def __starting_point():
    arr = DynamicArray()
    for i in range(1, 11):
        arr.append(i)
    print(arr)

__starting_point()
```"
"Given a list of integers, find the maximum sum of a contiguous subarray with an odd number of elements.","Input: [1, 2, 2, 5, 2, 3, 7]; Output: 10","We iterate through the list and keep track of the maximum sum of a contiguous subarray with an odd number of elements. If the current subarray has an even number of elements, we discard it and move to the next element. If the current subarray has an odd number of elements, we add it to the maximum sum.","def max_sum_odd_subarray(arr):
    n = len(arr)
    max_sum = -float('inf')
    for i in range(n):
        current_sum = 0
        for j in range(i, n):
            current_sum += arr[j]
            if current_sum % 2 == 1 and current_sum > max_sum:
                max_sum = current_sum
    return max_sum"
"Implement a Min Heap data structure using a list and perform the following operations: insert, delete, and find the minimum.","Input: Insert 5, 3, 8, 1, 6; Output: [1, 3, 5, 6, 8]
Input: Delete minimum; Output: 1
Input: Insert 7; Output: [1, 3, 5, 6, 8, 7]","To solve this problem, we use a list to represent the heap. The parent of a node at index i is at index (i - 1) // 2. The left child of a node at index i is at index 2*i + 1, and the right child is at index 2*i + 2. We maintain the heap property: for each node i, its value is less than or equal to the values of its children. We implement the insert, delete, and find_min operations accordingly.","class MinHeap:
    def __init__(self):
        self.heap = []

    def insert(self, value):
        self.heap.append(value)
        self._bubble_up(len(self.heap) - 1)

    def delete_min(self):
        if not self.heap:
            return None
        min_value = self.heap[0]
        self.heap[0] = self.heap[-1]
        self.heap.pop()
        self._bubble_down(0)
        return min_value

    def find_min(self):
        if not self.heap:
            return None
        return self.heap[0]

    def _bubble_up(self, index):
        parent_index = (index - 1) // 2
        if index > 0 and self.heap[parent_index] > self.heap[index]:
            self.heap[parent_index], self.heap[index] = self.heap[index], self.heap[parent_index]
            self._bubble_up(parent_index)

    def _bubble_down(self, index):
        left_child_index = 2 * index + 1
        right_child_index = 2 * index + 2
        min_index = index
        if left_child_index < len(self.heap) and self.heap[left_child_index] < self.heap[min_index]:
            min_index = left_child_index
        if right_child_index < len(self.heap) and self.heap[right_child_index] < self.heap[min_index]:
            min_index = right_child_index
        if min_index != index:
            self.heap[index], self.heap[min_index] = self.heap[min_index], self.heap[index]
            self._bubble_down(min_index)

# Example usage:
heap = MinHeap()
heap.insert(5)
heap.insert(3)
heap.insert(8)
heap.insert(1)
heap.insert(6)
print(heap.heap)
heap.delete_min()
heap.insert(7)
print(heap.heap)"
"Implement a Stack Data Structure using Python's built-in List. Perform the following operations: push, pop, peek, and is_empty.","Input: push 5
Output: []
Input: push 10
Output: [10]
Input: push 15
Output: [10, 15]
Input: pop
Output: 15
Input: peek
Output: 10
Input: is_empty
Output: False",A Stack is a Last-In-First-Out (LIFO) data structure. We can simulate a stack using a list where we add and remove elements from the end of the list.,"```python
class Stack:
    def __init__(self):
        self.items = []
    def push(self, item):
        self.items.append(item)
    def pop(self):
        if not self.is_empty():
            return self.items.pop()
        else:
            raise IndexError('The stack is empty')
    def peek(self):
        if not self.is_empty():
            return self.items[-1]
        else:
            raise IndexError('The stack is empty')
    def is_empty(self):
        return len(self.items) == 0

# Test
stack = Stack()
stack.push(5)
print(stack)
stack.push(10)
print(stack)
stack.push(15)
print(stack)
print(stack.pop())
print(stack.peek())
print(stack.is_empty())
```"
"Given a graph represented as an adjacency list, find the number of connected components in the graph.","Input: adjacency_list = [[0, 1, 2], [0, 3, 4], [2, 3, 5], [1, 4, 5], []]; Output: 3","To solve this problem, we use Depth-First Search (DFS) to explore the graph. We start from an unvisited node and explore its adjacent nodes recursively. If we encounter a node that is already visited, we skip it. After exploring all the nodes in a connected component, we mark all the nodes in that component as visited and move to the next connected component. The number of connected components is the number of times we perform DFS.","from collections import defaultdict

adjacency_list = [[0, 1, 2], [0, 3, 4], [2, 3, 5], [1, 4, 5], []]

visited = set()
components = 0

for node in range(len(adjacency_list)):
    if node not in visited:
        dfs(node, adjacency_list, visited)
        components += 1

def dfs(node, adjacency_list, visited):
    visited.add(node)
    for neighbor in adjacency_list[node]:
        if neighbor not in visited:
            dfs(neighbor, adjacency_list, visited)"
"Implement a graph data structure to represent a road network. Each road has a starting city, an ending city, and a travel time between the two cities. The task is to find the shortest path between two cities.","Input: [('A', 'B', 1), ('A', 'C', 3), ('B', 'C', 2), ('B', 'D', 4), ('C', 'D', 1)]","The reasoning is to use an adjacency list to represent the graph. Each city is a node in the graph, and each road is an edge connecting two nodes with a travel time. The shortest path between two cities is found using Dijkstra's algorithm.","```python
import heapq

class Graph:
    def __init__(self):
        self.nodes = {} 
    def add_edge(self, src, dest, weight):
        if src not in self.nodes:
            self.nodes[src] = []
        self.nodes[src].append((dest, weight))
    def shortest_path(self, src, dest):
        q = [(0, src)]
        visited = set()
        while q:
            _, current = heapq.heappop(q)
            if current == dest:
                return current
            if current not in visited:
                visited.add(current)
                for neighbor, weight in self.nodes[current]:
                    if neighbor not in visited:
                        heapq.heappush(q, (weight + current, neighbor))
        return -1

graph = Graph()
for edge in input().splitlines():
    src, dest, weight = edge.split()
    graph.add_edge(src, dest, int(weight))

start, end = input().split()
print(graph.shortest_path(start, end))```"
Implement a graph data structure using adjacency list representation to represent a social network where each node represents a person and each edge represents a friendship.,"Input: list of lists representing the social network:
[[1, 2, 3], [0, 2], [0, 1, 4], [1, 3], [2, 4]]
Output: A graph data structure with the following nodes and edges:
Nodes: [0, 1, 2, 3, 4]
Edges: (0, 1), (0, 2), (0, 4), (1, 2), (1, 3), (2, 4)",We create a class to represent the graph and a method to add nodes and edges to the graph. We use a dictionary to store the nodes and their neighbors. Each key in the dictionary represents a node and its value is a list of the node's neighbors.,"```python
class Graph: 
    def __init__(self): 
        self.graph = {}

    def add_node(self, node): 
        if node not in self.graph: 
            self.graph[node] = []

    def add_edge(self, node1, node2): 
        if node1 in self.graph and node2 in self.graph:
            self.graph[node1].append(node2)
            self.graph[node2].append(node1)

    def get_nodes(self): 
        return list(self.graph.keys())

    def get_neighbors(self, node): 
        if node in self.graph:
            return self.graph[node]
        else:
            return []

    def __str__(self): 
        nodes = self.get_nodes()
        edges = []
        for node in nodes:
            neighbors = self.get_neighbors(node)
            for neighbor in neighbors:
                if (node, neighbor) not in edges:
                    edges.append((node, neighbor))
        return f'Nodes: {nodes}
Edges: {edges}' 

graph = Graph()
graph.add_node(0)
graph.add_node(1)
graph.add_node(2)
graph.add_node(3)
graph.add_node(4)

graph.add_edge(0, 1)
graph.add_edge(0, 2)
graph.add_edge(0, 4)
graph.add_edge(1, 2)
graph.add_edge(1, 3)
graph.add_edge(2, 4)

print(graph)
```"
