question,example,reasoning,solution
Implement Breadth-First Search (BFS) to find the shortest path in a graph with weighted edges.,"Input: adjacency list of a graph with weighted edges:
[[0, 1, 0], [0, 0, 2], [1, 2, 0]]
Starting vertex: 0
Output: [0, 1, 2]",BFS is a graph traversal algorithm that explores all the vertices of a graph in breadth-first order. It starts from a source vertex and explores all the adjacent vertices at the current depth before moving on to the next level of vertices. The shortest path is found by keeping track of the shortest distance from the source to each vertex.,"```python
from collections import deque

def bfs(graph, start):
    visited = [False] * len(graph)
    queue = deque([(start, [start])])
    while queue:
        (current, path) = queue.popleft()
        if not visited[current]:
            visited[current] = True
            for neighbor, weight in enumerate(graph[current]):
                if not visited[neighbor]:
                    queue.append((neighbor, path + [neighbor]))
    return path

# Example usage:
graph = [[0, 1, 0], [0, 0, 2], [1, 2, 0]]
print(bfs(graph, 0))```"
Implement a sorting algorithm called 'Bubble Sort' to sort a list of integers in ascending order.,"Input: [5, 3, 1, 4, 2]; Output: [1, 2, 3, 4, 5]","Bubble Sort is a simple sorting algorithm that repeatedly steps through the list, compares adjacent elements and swaps them if they are in the wrong order. The pass through the list is repeated until the list is sorted.","def bubble_sort(arr):
    n = len(arr)
    for i in range(n):
        for j in range(0, n - i - 1):
            if arr[j] > arr[j + 1]:
                arr[j], arr[j + 1] = arr[j + 1], arr[j]
    return arr"
Write a function to count the number of unique elements in a list that appear more than n times.,"Input: [1, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5]; Output: 2","To solve this problem, we first create a function `count_elements(lst)` to count the number of occurrences of each element in the list. Then, we create a function `count_multiples(lst, n)` to find the number of unique elements that appear more than n times. The main function `count_multiples(lst)` takes the list as input and calls the `count_multiples(lst, 1)` function to find the number of elements that appear more than once.","```python
def count_elements(lst):
    counter = {} 
    for element in lst:
        if element in counter:
            counter[element] += 1
        else:
            counter[element] = 1
    return counter

def count_multiples(lst, n):
    counter = count_elements(lst)
    return sum(1 for element, count in counter.items() if count > n)

def main():
    lst = [1, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5]
    print(count_multiples(lst))

if __name__ == '__main__':
    main()```"
Implement a pointer-based algorithm to find the first non-repeating character in a string.,Input: 'Mississippi'; Output: 'M',"The problem requires finding the first character that appears only once in a given string. We can use a pointer-based approach where we iterate through the string and use two pointers, one to traverse the string and another to keep track of the last position of the character we have encountered. If we encounter a character that is not at the position of the last encountered character, it means that the character appears only once in the string.","```python
def first_non_repeating(s):
    last = {} # dictionary to store the last position of each character
    for i, c in enumerate(s): # enumerate function to get both index and character
        if c in last:
            last[c] = i # update the last position of the character
        else:
            print(c) # print the first non-repeating character and break the loop
            break
    # if no non-repeating character is found
    print('No non-repeating character found')

# Test cases
print(first_non_repeating('Mississippi')) # Output: M
print(first_non_repeating('Hello World')) # Output: H
print(first_non_repeating('AABBCC')) # Output: No non-repeating character found
```"
"Count the number of unique paths in a grid with obstacles where each step can be either up, down, left, or right, and the path must end at the bottom-right corner.","Input: 
3
1 0 0
0 1 0
0 0 1
Output: 2","To solve this problem, we can use dynamic programming and memoization to store the number of unique paths to each cell in the grid. The base case is the bottom-right corner, which has only one path. For each cell, we count the number of unique paths from the neighboring cells that are not obstacles and add them to the total number of paths to the current cell. The final answer is the number of paths to the top-left corner.","```python
def unique_paths_with_obstacles(grid):
    m, n = len(grid), len(grid[0])
    dp = [[0] * n for _ in range(m)]
    obstacles = set()
    for i, row in enumerate(grid):
        for j, cell in enumerate(row):
            if cell == 1:
                obstacles.add((i, j))
    for i in range(m - 1, -1, -1):
        for j in range(n - 1, -1, -1):
            if (i, j) not in obstacles:
                if i == m - 1 and j == n - 1:
                    dp[i][j] = 1
                elif (i + 1, j) not in obstacles:
                    dp[i][j] += dp[i + 1][j]
                if j + 1 < n and (i + 1, j + 1) not in obstacles:
                    dp[i][j] += dp[i + 1][j + 1]
    return dp[0][0]
```"
Implement a recursive function to find the Fibonacci number at a given position.,Input: 8; Output: 21,"The Fibonacci sequence is a series of numbers in which each number is the sum of the two preceding ones, starting from 0 and 1. To find the Fibonacci number at a given position, we can use a recursive function that calls itself with the two preceding positions until we reach the base cases of 0 or 1.","def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n - 1) + fibonacci(n - 2)"
"Given a list of integers, find the maximum sum of a contiguous subarray with at least k elements. If there is no such subarray, return 0.","Input: [1, -2, 3, 10, -4, 7, 2, -5]; Output: 18
k = 3
Input: [-1, -2, -3]; Output: 0
k = 3","1. Initialize two variables, max_sum and current_sum, to store the maximum sum and the current sum of the subarray respectively. 
2. Iterate through each element in the list. 
3. If the current sum is less than 0 and k is not yet reached, reset the current sum to 0. 
4. If the current sum is greater than max_sum and the subarray has at least k elements, update max_sum. 
5. If the subarray has less than k elements, update current_sum with the current element. 
6. Return max_sum if it is greater than 0, otherwise return 0.","```python
k, nums = int(input()), list(map(int, input().split()))
max_sum, current_sum = 0, 0
for num in nums:
    if current_sum < 0 and k > 1:
        current_sum = 0
    elif num > current_sum:
        current_sum = num
    else:
        current_sum += num
    if current_sum > max_sum and len(nums[current_sum - k: current_sum + 1]) >= k:
        max_sum = current_sum
print(max_sum)```"
Implement a Breadth-First Search (BFS) algorithm to find the shortest path between two nodes in a graph where each edge has a weight. The graph is represented as an adjacency list.,"Input: graph = {
    'A': ['B', 'C'],
    'B': ['A', 'D'],
    'C': ['A', 'D', 'E'],
    'D': ['B', 'C'],
    'E': ['C']
} and start_node = 'A', end_node = 'E'.
Output: The shortest path is A -> B -> C -> E with a total weight of 2.","We can solve this problem using BFS algorithm. Start from the start_node and explore all possible paths using a queue data structure. For each node, check if it has been visited before and if it is the end_node. If it is a new node, update the shortest path to that node and its total weight. The shortest path to the end_node is the path with the minimum total weight.","import collections

def bfs(graph, start_node, end_node):
    queue = collections.deque([(start_node, [start_node], 0)])
    visited = set()
    while len(queue) > 0:
        node, path, weight = queue.popleft()
        if node == end_node:
            return path, weight
        if node in visited:
            continue
        visited.add(node)
        for neighbor in graph[node]:
            new_path = path + [neighbor]
            new_weight = weight + graph[node][neighbor]
            queue.append((neighbor, new_path, new_weight))
    return None

# Test the function
graph = {
    'A': ['B', 'C'],
    'B': ['A', 'D'],
    'C': ['A', 'D', 'E'],
    'D': ['B', 'C'],
    'E': ['C']
}
start_node = 'A'
end_node = 'E'
path, weight = bfs(graph, start_node, end_node)
if path is not None:
    print(f'The shortest path is {path} with a total weight of {weight}')
else:
    print('No path found')"
"Given a list of n integers, sort them using the bubble sort algorithm such that the difference between adjacent elements is as large as possible.","Input: n=5, numbers=[3, 2, 1, 5, 4]; Output: [5, 4, 3, 2, 1]","Bubble sort is a simple sorting algorithm that repeatedly steps through the list, compares adjacent elements and swaps them if they are in the wrong order. In this case, we want to maximize the difference between adjacent elements. We can modify the bubble sort algorithm to keep track of the maximum difference found so far and swap only if the difference is less than the current maximum difference.","```python
def max_diff_bubble_sort(numbers):
    n = len(numbers)
    max_diff = 0
    for i in range(n):
        for j in range(n-i-1):
            if numbers[j] > numbers[j+1] and numbers[j+1] - numbers[j] > max_diff:
                numbers[j], numbers[j+1] = numbers[j+1], numbers[j]
                max_diff = numbers[j+1] - numbers[j]
    return numbers
```"
Implement Breadth-First Search (BFS) algorithm to find the shortest path between two nodes in an undirected graph with weighted edges.,"Input: adjacency list of a graph with 5 nodes and edge weights as follows:
[([1, 2, 4], 1), ([0, 3, 5], 2), ([0, 1, 3, 4], 3), ([2, 3, 4], 4), ([1, 3], 5)]
Start node: 0
End node: 4
Output: The shortest path is [0, 1, 3, 4] and the length of the path is 3.",BFS is a graph traversal algorithm that explores all the vertices of a graph in breadth-first order. It starts from a source vertex and explores all the adjacent vertices at the current depth before moving on to vertices at the next depth level. The algorithm maintains a queue to keep track of the vertices to be visited next and a visited set to avoid revisiting the same vertex.,"```python
from collections import deque

class Graph: 
    def __init__(self, vertices): 
        self.graph = [[0 for column in range(vertices)] for row in range(vertices)]
        self.V = vertices

    def addEdge(self, u, v, w): 
        self.graph[u][v] = w
        self.graph[v][u] = w

    def BFS(self, s): 
        visited = [False] * self.V
        queue = deque()
        queue.append(s)
        visited[s] = True
        shortest_path = []

        while queue:
            s = queue.popleft()
            shortest_path.append(s)
            for i in range(self.V):
                if self.graph[s][i] > 0 and not visited[i]:
                    queue.append(i)
                    visited[i] = True

        return shortest_path

# Test the BFS algorithm
graph = Graph(5)
graph.addEdge(0, 1, 4)
graph.addEdge(1, 2, 1)
graph.addEdge(0, 3, 2)
graph.addEdge(2, 3, 3)
graph.addEdge(2, 4, 5)
graph.addEdge(1, 3, 8)

print(graph.BFS(0), len(graph.BFS(0)) - 1)
```"
Write a recursive function to find the Fibonacci sequence up to nth term.,"Input: 10; Output: [0, 1, 1, 2, 3, 5, 8, 13, 21, 34]","The Fibonacci sequence is a series of numbers in which each number is the sum of the two preceding ones, usually starting with 0 and 1. To find the nth term, we can use a recursive function that calls itself with the previous two terms until it reaches the base case (n = 0 or n = 1).","```python
def fibonacci(n):
    if n <= 1:
        return n
    else:
        return(fibonacci(n-1) + fibonacci(n-2))

num = int(input())
print([fibonacci(i) for i in range(num+1)])```"
Write a function to count the number of unique elements in a list that appear more than n times.,"Input: [1, 2, 2, 3, 3, 3, 4, 4, 4, 4]; Output: 4
Input: [1, 2, 3, 4, 5]; Output: 0","To solve this problem, we first sort the input list and then iterate through the list. If the current element is the same as the previous element, we check if it has appeared more than n times. If it has, we increment a counter. At the end, we return the counter.","def count_repeated_elements(lst, n):
	lst.sort()
	count = 0
	prev = lst[0]
	for i in range(1, len(lst)):
		if lst[i] == prev and lst.count(lst[i]) > n:
			count += 1
		prev = lst[i]
	return count"
Implement Depth-First Search (DFS) to find the longest path in a directed graph with weighted edges.,"Input: adjacency_list = [(0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4)]
weights = [1, 2, 3, 2, 4, 5]
start_node = 0
Output: 14","The problem can be solved by using DFS to explore the graph and keep track of the longest path found so far. The algorithm should visit each node in the graph, explore its neighbors, and update the longest path if necessary.","```python
from collections import defaultdict

adjacency_list = [(0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4)]
weights = [1, 2, 3, 2, 4, 5]
start_node = 0

graph = defaultdict(list)
for node, neighbor in adjacency_list:
    graph[node].append(neighbor)
    graph[neighbor].append(node)

visited = set()
longest_path = 0

def dfs(node, current_path, current_weight):
    visited.add(node)
    current_path.append(node)
    if node == start_node:
        longest_path = max(longest_path, current_weight)
    for neighbor in graph[node]:
        if neighbor not in visited:
            dfs(neighbor, current_path, current_weight + weights[node] - weights[neighbor])
    current_path.pop()

for node in graph:
    if node not in visited:
        dfs(node, [], 0)
print(longest_path)```"
Write a function that counts the number of occurrences of a given target value in a list of integers using the count algorithm.,"Input: [1, 2, 3, 2, 2, 4, 2]; Target: 2; Output: 3","To solve this problem, we iterate through the list and count the number of times the target value appears. The count algorithm is used to find the frequency of an element in a list.","def count_target(lst, target):
    count = 0
    for num in lst:
        if num == target:
            count += 1
    return count"
"Given a singly linked list, find the middle node of the list. If the list has an even number of nodes, return the second middle node.","Input: 1 -> 2 -> 3 -> 4 -> 5 -> 6
Output: 3","The problem can be solved by iterating through the list and keeping track of the number of nodes. When the number of nodes is half the total number of nodes, we have reached the middle node (or the second middle node if the total number of nodes is even).","```python
class ListNode: 
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def middle_node(head: ListNode) -> ListNode:
    mid = slow = fast = head
    while fast and fast.next: 
        slow = slow.next
        fast = fast.next.next
    return slow
```"
Implement Breadth-First Search (BFS) algorithm to find the shortest path between two nodes in an undirected graph.,"Input: Adjacency list representation of a graph and two nodes (A, B); Output: The shortest path between A and B.","We start from the source node (A) and add it to a queue. We also mark it as visited. At each step, we dequeue a node, explore its unvisited neighbors, and enqueue them. We repeat this process until we find the destination node (B) or the queue is empty. The shortest path is the sequence of nodes from the source to the destination.","```python
from collections import deque

class Graph: 
    def __init__(self, vertices): 
        self.graph = [[0 for column in range(vertices)] for row in range(vertices)]
    
    def add_edge(self, u, v): 
        self.graph[u][v] = 1
        self.graph[v][u] = 1
    
    def bfs(self, s, d): 
        queue = deque()
        visited = [False] * len(self.graph)
        queue.append(s)
        visited[s] = True
        path = []
        
        while queue: 
            u = queue.popleft()
            if u == d: 
                path.append(u)
                while path: 
                    path.append(path.pop(0))
                return path[::-1]
            
            for i in range(len(self.graph)): 
                if not visited[i] and self.graph[u][i] == 1: 
                    queue.append(i)
                    visited[i] = True
        return []
    
def __starting_point(): 
    g = Graph(9)
    g.add_edge(0, 1)
    g.add_edge(0, 7)
    g.add_edge(1, 2)
    g.add_edge(1, 7)
    g.add_edge(2, 3)
    g.add_edge(2, 5)
    g.add_edge(2, 8)
    g.add_edge(7, 6)
    g.add_edge(7, 8)
    g.add_edge(6, 7)
    g.add_edge(6, 8)
    g.add_edge(8, 3)
    g.add_edge(8, 5)
    print(g.bfs(0, 5))
__starting_point()
```"
Implement a binary search algorithm to find a specific target value in a sorted list of integers. The list can contain duplicates.,"Input: [1, 1, 3, 4, 4, 5, 6] and target value 4; Output: Index 3","The binary search algorithm works by repeatedly dividing the search interval in half. If the target value is less than the middle element, we search in the lower half of the interval. If the target value is greater than the middle element, we search in the upper half of the interval. We continue this process until we find the target value or the search interval is empty.","Here is a Python solution that uses the binary search algorithm.

```
def binary_search(arr, target):
    low = 0
    high = len(arr) - 1
    while low <= high:
        mid = (low + high) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid + 1
        else:
            high = mid - 1
    return -1

def __starting_point():
    arr = [1, 1, 3, 4, 4, 5, 6]
    target = 4
    index = binary_search(arr, target)
    print(index)

__starting_point()
```"
Implement a pointer-based algorithm to find the first occurrence of a target value in a sorted array. The array may contain duplicates.,"Input: [2, 3, 3, 4, 5], target = 3; Output: 1","We use a pointer to traverse the array from the beginning. If the current element is less than the target, we move the pointer to the next element. If the current element is equal to the target, we return the index. If the array is empty, we return -1.","def find_first_occurrence(arr, target):
    n = len(arr)
    if n == 0:
        return -1
    left, right = 0, n - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            if mid == 0 or arr[mid - 1] != target:
                return mid
            right = mid - 1
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1"
Implement Breadth-First Search (BFS) algorithm to find the shortest path between two nodes in an undirected graph.,"Input: Adjacency list representation of a graph: [[1, 2, 4], [0, 1, 3, 4], [2, 3, 5], [0, 2, 3, 5, 6], [4, 5]]; Start node: 0; End node: 4; Output: [0, 2, 3, 4]","To solve this problem, we use a queue to traverse the graph level by level. We start from the given start node and explore all its neighbors. For each neighbor, we mark it as visited and add it to the queue. We repeat this process until we find the end node or the queue is empty. The shortest path is the list of nodes visited in the order they were visited.","from collections import deque

def bfs(graph, start, end):
    visited = set()
    queue = deque([start])
    path = []
    while queue:
        current = queue.popleft()
        if current == end:
            path = list(reversed(path))
            return path
        visited.add(current)
        for neighbor in graph[current]:
            if neighbor not in visited:
                queue.append(neighbor)
    return None

# Example usage:
graph = [[1, 2, 4], [0, 1, 3, 4], [2, 3, 5], [0, 2, 3, 5, 6], [4, 5]]
start = 0
end = 4
print(bfs(graph, start, end))"
Implement Depth-First Search (DFS) to find the longest path in a directed graph. The graph is represented as an adjacency list.,"Input: [[1, 2, 3], [2, 4], [3, 5], [4], [5]]
Output: 4",We start from any node in the graph and explore as far as possible along each branch before backtracking. We keep track of the longest path found so far. The longest path is the one with the maximum number of edges.,"```python
from collections import defaultdict

def dfs(node, graph, visited, path, longest_path):
    visited[node] = True
    path.append(node)
    longest_path = max(longest_path, len(path) - 1)
    for neighbor in graph[node]:
        if not visited[neighbor]:
            dfs(neighbor, graph, visited, path, longest_path)
        path.pop()
    return longest_path

def longest_path(graph):
    visited = [False] * len(graph)
    longest_path = 0
    for node in range(len(graph)):
        if not visited[node]:
            longest_path = max(longest_path, dfs(node, graph, visited, [], longest_path))
    return longest_path

# Test
graph = [[1, 2, 3], [2, 4], [3, 5], [4], [5]]
print(longest_path(graph))
```"
Implement Breadth-First Search (BFS) to find the shortest path between two nodes in an undirected graph with weighted edges.,"Input: adjacency_list = [[0, 1, 2], [0, 3, 4], [2, 3, 5], [1, 4, 5], []]; start_node = 0; end_node = 4; Output: 3","To solve this problem, we use a queue to traverse the graph level by level. We start from the given start node and explore all its adjacent nodes at the current level. For each adjacent node, we check if it is the target node or not. If it is, we return the number of edges traversed to reach it. If it's not, we add it to the queue and continue the exploration from the next level.","from collections import deque

adjacency_list = [[0, 1, 2], [0, 3, 4], [2, 3, 5], [1, 4, 5], []]
start_node = 0
end_node = 4

visited = set()
queue = deque([(start_node, 0)])

while queue:
    current_node, current_distance = queue.popleft()
    if current_node == end_node:
        return current_distance
    visited.add(current_node)
    for neighbor, weight in enumerate(adjacency_list[current_node]):
        if neighbor not in visited:
            queue.append((neighbor, current_distance + weight))

return -1"
Implement a pointer-based algorithm to find the maximum sum of a subarray in an array. The subarray can start at any index and can have any length.,"Input: [1, -2, 3, 10, -4, 7, 2, -5]","The reasoning is to use two pointers, one starting at the beginning of the array and the other at the end. The sum of the subarray is calculated for each possible subarray by moving the starting pointer forward and the ending pointer backward. The maximum sum is kept track of and returned at the end.","```python
arr = list(map(int, input().split()))
max_sum, start, end = float('-inf'), 0, len(arr) - 1

while start < end:
    sum_ = sum(arr[start:end + 1])
    if sum_ > max_sum:
        max_sum, s, e = sum_, start, end
    if sum_ < 0:
        start += 1\    else:
        end -= 1

print(max_sum)```"
Implement Breadth-First Search (BFS) to find the shortest path between two nodes in an undirected graph with weighted edges.,"Input: adjacency list of a graph with weighted edges:
[[0, 1, 2], [0, 3], [1, 2, 4], [2], [3, 4], []]
Start node: 0
End node: 4
Output: 3","We use a queue to traverse the graph level by level. We start from the start node and add it to the queue. We also initialize a dictionary to store the shortest path from the start node to each node. We iterate through the queue until it is empty. For each node in the queue, we check if it is the end node. If it is, we return the length of the path. If it is not, we iterate through the neighbors of the node and check if they are already in the shortest path dictionary. If they are not, we calculate the new length of the path and add the neighbor to the queue and the shortest path dictionary.","```python
from collections import deque

class Graph: 
    def __init__(self, vertices): 
        self.graph = [[0 for column in range(vertices)] for row in range(vertices)]
        self.visited = [False] * vertices

    def add_edge(self, source, destination, weight): 
        self.graph[source][destination] = weight
        self.graph[destination][source] = weight

    def shortest_path(self, source, destination): 
        q = deque()
        q.append((source, None))
        shortest_path = {source: 0}

        while q:
            u = q.popleft()[0]
            if u == destination:
                return self.shortest_path_length(destination)
            for index, v in enumerate(self.graph[u]):
                if v > 0 and self.visited[index] == False:
                    self.visited[index] = True
                    new_path_length = shortest_path[u] + v
                    q.append((index, u))
                    shortest_path[index] = new_path_length

        return -1

    def shortest_path_length(self, node): 
        return shortest_path[node]

graph = Graph(6)
graph.add_edge(0, 1, 2)
graph.add_edge(0, 3, 4)
graph.add_edge(1, 2, 8)
graph.add_edge(1, 4, 7)
graph.add_edge(2, 4, 1)
graph.add_edge(2, 5, 2)
graph.add_edge(3, 2, 9)
graph.add_edge(3, 5, 3)
graph.add_edge(4, 5, 5)

print(graph.shortest_path(0, 4))
```"
